repo_slug,query_label,family,baseline_tool,correct,indexed_p50_ms,baseline_p50_ms,indexed_p95_ms,baseline_p95_ms,indexed_max_rss_kib,baseline_max_rss_kib
BurntSushi_ripgrep,path_suffix,file_listing,fd,true,30.247,17.825,33.897,21.635,6213632,5881856
BurntSushi_ripgrep,path_exact_name,file_listing,fd,true,30.010,16.677,30.559,17.885,6197248,5300224
BurntSushi_ripgrep,path_substring,file_listing,rg --files | rg,true,30.138,25.673,30.560,27.736,6135808,4235264
BurntSushi_ripgrep,literal_selective,literal_search,rg,true,19.963,15.215,21.149,16.863,4976640,4964352
BurntSushi_ripgrep,literal_moderate,literal_search,rg,true,20.360,15.609,21.674,16.734,5120000,6234112
BurntSushi_ripgrep,literal_high,literal_search,rg,true,20.633,15.601,21.959,16.320,5173248,5398528
BurntSushi_ripgrep,regex_anchor,regex_search,rg,true,19.998,15.415,21.648,16.754,5169152,5124096
BurntSushi_ripgrep,regex_weak,regex_search,rg,true,24.458,20.696,26.139,22.818,5570560,6803456
BurntSushi_ripgrep,literal_no_match,literal_search,rg,true,19.840,15.254,21.290,16.600,4935680,4886528
BurntSushi_ripgrep,regex_no_match,regex_search,rg,true,20.581,15.540,22.280,16.733,4816896,4960256
BurntSushi_ripgrep,multi_or,mixed_search,rg,true,20.655,16.034,21.713,18.059,5246976,5873664
BurntSushi_ripgrep,path_plus_content,mixed_search,rg,true,19.418,14.523,21.665,16.071,4739072,4587520
