repo_slug,query_label,family,baseline_tool,correct,indexed_p50_ms,baseline_p50_ms,indexed_p95_ms,baseline_p95_ms,indexed_max_rss_kib,baseline_max_rss_kib
BurntSushi_ripgrep,path_suffix,file_listing,fd,true,29.164,19.633,30.017,21.508,6008832,5885952
BurntSushi_ripgrep,path_exact_name,file_listing,fd,true,29.109,20.421,29.913,23.557,6111232,5234688
BurntSushi_ripgrep,path_substring,file_listing,rg --files | rg,true,29.177,25.640,29.434,30.257,6012928,4169728
BurntSushi_ripgrep,literal_selective,literal_search,rg,true,23.313,18.421,27.017,22.167,4878336,4820992
BurntSushi_ripgrep,literal_moderate,literal_search,rg,true,22.145,16.403,24.098,19.270,5038080,6115328
BurntSushi_ripgrep,literal_high,literal_search,rg,true,23.108,18.741,26.338,22.502,5189632,5361664
BurntSushi_ripgrep,regex_anchor,regex_search,rg,true,22.149,19.526,24.856,23.203,5115904,5066752
BurntSushi_ripgrep,regex_weak,regex_search,rg,true,25.873,22.689,29.394,24.794,5439488,6701056
BurntSushi_ripgrep,literal_no_match,literal_search,rg,true,22.120,18.708,25.814,20.356,4751360,4796416
BurntSushi_ripgrep,regex_no_match,regex_search,rg,true,22.181,21.715,25.741,22.919,4784128,4780032
BurntSushi_ripgrep,multi_or,mixed_search,rg,true,22.231,18.082,23.963,19.668,5111808,5836800
BurntSushi_ripgrep,path_plus_content,mixed_search,rg,true,21.378,15.650,24.951,16.764,4755456,4673536
